Establishment,Manager,Status,Rooms,Beds,Address,Island,Tel,Email,License Type
Corner Bay Apartments,MANGROO Gerard & Rachel (Mr/s),Operational,3,6,Beau Vallon,Mahe,4247527/ 2584475/ 2529412,gmangroo@intelvision.net,Self Catering
Cosmoledo Flyfishing Camp,Island Development Company,Operational,8,16,Cosmoledo,Cosmoledo,4229030,val@idc.sc; christiane@idc.sc,Self Catering
Cote D'Or Chalets,PAYET Sonny (Mr),Operational,7,14,Cote d'Or,Praslin,4232424/ 2510488,resa@cotedorchalets.com,Self Catering
Cote d'Or Footprints,CONSTANCE Annia (Mrs),Operational,16,32,Cote d'Or,Praslin,2539378/ 4232035/4232099,cotedorfootprints@seychelles.net,Self Catering
Cote D'Or Lodge,BARILARI Marco (Mr),Operational,37,74,Cote d'Or,Praslin,4232200/2727380,vacanze@seychelles.net,Medium Hotel
Cote Mer Villa,"PARMENTIER Bernadette, Regina (Mrs)",Operational,2,4,Baie Ste Anne,Praslin,2512367,ccmer@email.sc,Self Catering
Coté Sud,GONTHIER Josee Manca (Mrs),Operational,4,8,Anse Intendance,Mahe,2588270/ 4366343,joseegoman@gmail.com,Self Catering
Cotton Rose Self Catering,CHUNG-FAYE Jeanine (MRS),Operational,2,4,Plaisance,Mahe,2514547/4345242,cottonroseseychelles@gmail.com; jeanninechungfaye@gmail.com,Self Catering
Cousine Island Resort,BENNET Stephen (Mr),Operational,4,8,P.O Box 977,Cousine,434 6906 / 2607713,guestrelations@cousineisland.com,Small Hotel
Creole Breeze,LAVIGNE Michael (Mr),Operational,8,16,Anse a La Mouche,Mahe,4355693/2712100,michael@hibiscus.sc,Self Catering
Creole Cottage,MADELEINE Julienne (Ms),Operational,1,2,Anse de Genets,Mahe,4374321/2710414,julienne.madeleine@yahoo.co.uk,Self Catering
Criollo House ( Ex Chateau Elysium),METCALFE Loulou (Ms),Operational,10,20,Beau Vallon,Mahe,2570322,rosielouloumetcalfe@gmail.com,Guesthouse
Crown Beach Seychelles,TIRANT Alice (Mrs),Operational,12,24,Pointe Au Sel,Mahe,4382800/2520272,marketing@crownbeachseychelles.com;alice@crownbeachseychelles.com,Small Hotel
Crystal Apartments (Ex Stelia Seychelles),GENDRON Steven (Mr),Operational,2,4,Glacis,Mahe,2609675/4261496,gendron.steven@yahoo.com,Self Catering
Cupid's Stream,DE SPEVILLE Raymond (Mr),Operational,1,2,Bel Ombre,Mahe,2502208/4247863,Rds.seychelles@gmail.com,Self Catering
D & M Holiday Apartments,PANAGARY Doris & Mick (Mr & Mrs),Operational,3,6,Nouvelle Vallee,Mahe,2827628,dmapartment@seychelles.net,Self Catering
D Bes,AH-TIME Simon (Mr),Operational,2,4,Mare Anglaise,Mahe,2511281/ 2525777,maureenahtime@hotmail.com,Self Catering
D’offay Seaview Apartments,D'OFFAY Mary Vonne (Mrs),Operational,4,8,Bel Ombre,Mahe,2522711/2573196,mv@doffaypharmacy.com,Self Catering
Dan Kazou,FANCHETTE Miranda Sheila (Miss),Operational,2,4,Grand Anse,La Digue,2564589/ 4235079,dankazou@gmail.com,Self Catering
Dan Misouk,CORSAME Zenaida(Mrs),Operational,4,8,Anse Reunion,La Digue,2620851/2503665/2530594,hotel@lerepaireseychelles.com; directorlepaireseychelles.com; director@lerepaire.com,Bed & Breakfast Guesthouse
Dan Zoranz Self Catering,FANCHETTE Franky (Mr),Operational,2,4,La Passe,La Digue,2723578/2520885/2611588,franckly70ger@yahoo.com; danzoranz@yahoo.com,Self Catering
Daniella's Bungalow,VIDOT Elcia (Mr),Operational,10,20,Bel Ombre,Mahe,4247914,daniella@seychelles.net,Guesthouse
Dar and Douce Self Catering,SINON Peter (Mr),Operational,4,8,Au Cap,Mahe,2723900/ 2811752,pwasondanlo@yahoo.co.uk,Self Catering
Dawn Self Catering,ELISABETH Reginald /Celine (Mr &Mrs),Operational,2,4,Reef Estate,Mahe,2722318/2517750,dawnselfcatering@gmail.com; rgelizabeth@email.sc,Self Catering
Deckenia Self Catering,FERRARI Therese (Mrs),Operational,5,10,Anse Gouvernement,Praslin,2508337/ 4236288,deckenia@gmail.com; thereseferrari@icloud.com,Self Catering
Delpeche Residence,DELPECHE Brigitte (Mrs),Operational,3,6,Beau Vallon,Mahe,4248439/4376768/2838024,chezmadalton@yahoo.com,Self Catering
Demeure de Cap  Maçon,SCHEER Mary-Anna (Mrs),Operational,6,12,Anse Forbans,Mahe,2711184,capmacon@ymail.com,Self Catering
Denis Island Resort,DUPREEZ Vorner (Mr),Operational,25,50,P.O Box 404,Denis,4295999/ 4288963,prosette@masonstravel.com/mnaiken@masonstravel.com,Medium Hotel
Desroches,Island Development Company,Operational,3,6,P.O Box 638,Desroches,4384640/4224467,val@idc.sc; christiane@idc.sc,Guesthouse
Destination Self Catering,HOAREAU Anabelle (Mrs),Operational,1,2,Grand Anse,Praslin,2524278,destinationselfcatering@gmail.com,Self Catering
Dhevatara Beach Hotel,SQUIRES Rene (Mr),Operational,10,20,Grand Anse,Praslin,4237333/2508880,dbh.gm@dhevatara.com; dh.gm@dhevataraseychelles.com,Small Hotel
Diamond Plaza Self Catering,CONFAIT Jose (Mr),Operational,14,28,Grand Anse,Praslin,4233533/2511427,villafavorita@seychelles.net,Self Catering
Didi's Dream Self Catering,VARGIOLU Jeanne Marguerite (Ms),Operational,4,8,Anse Kerlans,Praslin,4232322/2544856,lechevalierbay@gmail.com; vitovargiolu@gmail.com,Self Catering
Diver's Lodge,HOAREAU Teddy & Lisette ( Mr & Mrs),Operational,4,8,Beau Vallon,Mahe,4261222/ 2511125,diverslodge@seychelles.net,Bed & Breakfast Guesthouse
Domaine Desaubin,DESAUBIN Lena (Mrs),Operational,3,6,Intendance,Mahe,4366169/2722781/2618873,domainedesaubinvillas@gmail.com; desaubinlm@gmail.com,Self Catering
Domaine les Rochers,CONFAIT Paola (Miss),Operational,6,12,La Passe,La Digue,4235334,domainelesrochers@hotmail.com,Self Catering
DoubleTree by Hilton Seychelles-Allamanda Resort & Spa,DESOUZA Doreen (Mrs),Operational,30,60,Anse Forbans,Mahe,4388800,daniele.fabbri@hilton.com,Medium Hotel
Dream Hill Villas,PAYET Robert (Mr),Operational,11,22,"Anse Volbert, Cote Dór",Praslin,4294800/ 2781504,leduc@seychelles.net,Self Catering
Dream Holiday Self-Catering,CONSTANCE Josette (Mrs),Operational,2,4,La Passe,La Digue,2591027,priscaconstance@yahoo.com,Self Catering
Dusk to Dawn,MOUSTACHE Nilza (Mrs),Operational,3,6,Glacis,Mahe,"2542520, ,2765574",dusktodawnsey@gmail.com,Self Catering
East Horizon,SAMSON Harry (Mr),Operational,4,8,Au Cap,Mahe,2521470/2528811,easthorizon@email.sc; febronasamson@email.sc,Self Catering
East View Self Catering,DAVID Daniella,Operational,4,8,Au Cap,Mahe,2512060/2864686,info@eastviewseychelles.com,Self Catering
Eco Lodge,RIVOLTA Jaqueline ( Mrs),Operational,2,4,Beoliere,Mahe,2512218,jrivolta67@hotmail.com,Self Catering
Eden Bleu Hotel,POLICARPO Manuel (Mr),Operational,87,174,Eden Island,Mahe,4399100,manuel.policarpo@edenbleu.com,Large Hotel
Eden Confort,THOMAS Claude (Mr),Operational,3,6,Eden Island,Mahe,2594110,reservation@villaconfort.com,Self Catering
Eden Hills Residence,HOEVERS Leo (Mr),Operational,9,18,Anse Louis,Mahe,2715458/ 2717272,info@edenhillsresidence.com,Self Catering
Eden Island Rental Pool Management CO (SEY) LTD,CEDRAS Rania (Ms),Operational,350,700,"Po Box 1403, Eden House, Eden Island",Mahe,4346000/ 2520807 / 252782,rannia@edenisland.sc; corrie@edenisland.sc,Self Catering
Eden Panoramic,DUGASSE Claudiana (Miss) / ESPARON Marie Andre (Miss),Operational,2,4,La Louise,Mahe,2819462/2643022,c.dugasse@gmail.com; pcadeau18@gmail.com,Self Catering
Elilia,DIDON Michel Gaitan (Mr),Operational,3,6,Beau Vallon,Mahe,2637665/2874949,eliliahaven@gmail.com,Self Catering
Elje Villa,ETIENNE Elna (Ms),Operational,3,6,Anse Reunion,La Digue,2528939,elnawayehive@gmail.com,Guesthouse
Enchanted Island Resort,AYDIN Burak(Mr),Operational,12,24,Round Island,Round (Mahe),4672727/4672702/2605501,Burak.aydin@jaresorts.com,Small Hotel
Enchanted Waterfront Villas,AYDIN Buyak (Mr),Operational,9,18,Roche Caiman,Mahe,2605501,Burak.aydin@jaresorts.com,Self Catering
EPEA-Ocean View Self-Catering,GRANDCOURT Mary Francesca Mrs.,Operational,2,4,Glacis,Mahe,2780099,pina_grandcourt@hotmail.com,Self Catering
Erica's Residence,POOL Erica (Mrs),Operational,2,4,Au Cap,Mahe,2783123,ericasresidence@gmail.com,Self Catering
Etoile Labrine,LADOUCEUR Johanne (MRS),Operational,8,16,L'Union,La Digue,2636760/ 2588767,info@etoile-labrine.com,Bed & Breakfast Guesthouse
Exotic Guesthouse,BEDIER Andre (Mr),Operational,3,6,Cote D'Or,Praslin,2522779 / 2726653,exoticguesthouse@yahoo.com,Self Catering
Fadine Self Catering,"WAYE-HIVE Celine, Noella (Ms)",Operational,3,6,La Passe,La Digue,2733744,info@fadineselfcatering.com,Self Catering
Fairy Tern,HORNER Kevin (Mr),Operational,2,4,Cerf Island,Cerf Island,4321733,fairytern@email.sc,Self Catering
Farquar,Island Development Company,Operational,6,12,P.O Box 638,Farquar,4384640/4224467,farquhar@idc.sc,Guesthouse
Felicie Cottage,WOODCOCK Jean-Claude (Mr),Operational,3,6,Point Au Sel,Mahe,2783111/2534600,anonyme@seychelles.net; contact@seychellesselfcatering.com,Self Catering
Fern Lodge,POOL Selby,Operational,1,2,Anse Reunion,La Digue,2643507/ 2838779,fernlodgeladigue@gmail.com,Self Catering
Filao Guesthouse,TIRANT Patrick (Mr),Operational,2,4,Anse Reunion,La Digue,4234314/ 2574988,lefilao@la-digue.info,Self Catering
Fisherman's Cove Resort,STEYN Johanes (Mr),Operational,68,136,P.O Box 35,Mahe,4677000,Johannes.Steyn@story-hotels.com,Large Hotel
Fler Payanke,RADEGONDE Andrea (Mrs),Operational,2,4,Anse Royale,Mahe,2517196,andrea.radegonde@gmx.com,Self Catering
Fleur de Lys,"CHOPPY Mary, Henry (Mrs)",Operational,8,16,La Passe,La Digue,4234459 / 2514154,fleurdelysey@yahoo.com,Self Catering
Fleur de Sel,D'OFFAY Anne Laure (Mrs),Operational,8,16,Anse Royale,Mahe,2515253/ 2717273,fleurdesel.desirade@gmail.com; doffay@seychelles.net,Self Catering
Fleur De Sel Villa,D'OFFAY Anne Laure (Mrs),Operational,4,8,Anse Royale,Mahe,2515253,fleurdesel.desirade@gmail.com; doffay@seychelles.net,Self Catering
Flora's Self Catering,MONDON Vincent (Mr),Operational,4,8,Anse a La Mouche,Mahe,2517898/2812515,floraselfcatering@gmail.com,Self Catering
Flower Garden Self Catering,HOAREAU Paul Marc (Mr),Operational,4,8,Beau Vallon,Mahe,2517232,phoareau@gmail.com,Self Catering
Fond B'Offay Lodge,ATHANASE Humbert (Mr)/ BRESSON Roby (Mr),Operational,3,6,Baie Ste Anne,Praslin,2563251/ 2820927,athanasemaryjane@yahoo.com; robybresson54@gmail.com,Self Catering
Forest Lodge,ROUSSEAU Stephen (Mr),Operational,5,10,"Mount Simpson, Bel Ombre",Mahe,2515145,srousseau@forestlodge-seychelles.com,Self Catering
Four Seasons Resort,OOSTENBRINK Marcel  (Mr),Operational,67,134,Petite Anse,Mahe,4393000,marcel.oostenbrink@fourseasons.com pradip.tamang@fourseasons.com,Large Hotel
Four Seasons Resort Seychelles at Desroches Island,SOLOMON Nick (Mr),Operational,71,142,P.O Box 378,Desroches,4229400,nick.salomon@fourseasons.com,Large Hotel
Frangipalm Bungalow,"VALMONT Rita, Farida (Miss)",Operational,2,4,Grand Anse,Praslin,2511789 / 2511996,cfarida@yahoo.com,Self Catering
Frangipane Apartments,MONTANO Marlon (Mr),Operational,4,8,Beau Vallon,Mahe,2513021,Montano@seychelles.net,Self Catering
Fregate Island Private,HASTINGS Hilton(Mr),Operational,16,32,P.O Box 330,Fregate,4670100 / 2620531,hrm@fregate.com,Small Hotel
Gala Beach,JABBER Dorothy (Mrs),Operational,4,8,Glacis,Mahe,2513310,jabbermohammed2303@gmail.com,Self Catering
Garden Hut,MONDON Marlene (Mrs),Operational,1,2,Au Cap,Mahe,4415546/2726323/2722659,gardenhutseychelles@gmail.com,Self Catering
Gecko Villa (EX Villa Paille en Queue),SULEMAN Pema (Mrs),Operational,5,10,Anse Takamaka,Praslin,2629875,geckovillapraslin@gmail.com,Self Catering
Geferem Self Catering,REMY Felix (Mr.),Operational,1,2,Ma Constance,Mahe,2765412/ 4241953,geferem@gmail.com,Self Catering
Georgina's Cottage,"LAPORTE Geraldine, Rachel (Miss)",Operational,10,20,Beau Vallon,Mahe,4247016/ 4247945/2515659,georgina@seychelles.net,Bed & Breakfast Guesthouse
Gigi's Self Catering Apartments,TIRANT Gisele (Mrs),Operational,5,10,Port Glaud,Mahe,4378191/ 2522537,gttirant@gmail.com,Self Catering
Glacis Heights Villa,SCHARPF Beryl (Mrs),Operational,4,8,Glacis,Mahe,4261280 / 4225669/2534988,reservations@glacisheightsvilla.com,Bed & Breakfast Guesthouse
Global Village Apartments,JIVAN Deepa (Miss),Operational,4,8,Mont Fleuri,Mahe,4611777/2713610,meenajivan@email.sc,Self Catering
Grace Self Catering,VEL Roddy Jean (Mr),Operational,4,8,Au Cap,Mahe,2513533/4373368,roddyvel@seychelles.net; grace self catering@gmail.com,Self Catering
Granite Self Catering,ADRIENNE Sylvia (Ms),Operational,1,2,La Passe,La Digue,2522518/2522085,graniteselfcateringseychelles@gmail.com,Self Catering
Grann Kaz,LAFORTUNE Mavis (Mrs),Operational,6,12,Anse La Mouche,Mahe,2511005,films@seychelles.net,Bed & Breakfast Guesthouse
Green Blue Beach House,ZACCARI Vittorio (Mr),Operational,4,8,Anse Gaulette,Mahe,2727033/ 2727020/ 4373139,seychelleshotel@gmail.com,Self Catering
Green Garden Self Catering,SIMARA Rose Mary (Mrs),Operational,3,6,Port Glaud,Mahe,"2573959, 2729410, 2511874",rmsimara@yahoo.com,Self Catering
Green Palm Self Catering Apartments,VANDAGNE Theresa (Mrs),Operational,10,20,Green Estate,Mahe,2511567/ 2726356,sales@greenpalmseychelles.net,Self Catering
Green Park,CHETTY Murali Kannan (Dr),Operational,3,6,Beau Vallon,Mahe,2712600/2713949/4321911,mknchetty@yahoo.com,Guesthouse
Green Villas,POINTE Marie-Helene (Mrs),Operational,2,4,St Joseph,Praslin,4233931/ 2536744,greenvillaseychelles@gmail.com,Self Catering
Gregoire Apartments,PAYET Gregoire (Mr),Operational,15,30,Anse Reunion,La Digue,4234232/2527384/4292525,reservation1@ladigue.sc/ reservation2@ladigue.sc/ reservation3@ladigue.sc,Bed & Breakfast Guesthouse
GT Properties Ltd,UMARJI Imtiaz (Mr),Operational,6,12,"P.O Box 189, Victoria, Mahe",Mahe,2589114/ 4225862,valliismael@hotmail.com,Self Catering
Halcyon Water,SAVY Margaret (Mrs),Operational,5,10,Glacis,Mahe,2577030/2515315,halycon@seychelles.net,Self Catering
Hanneman Holiday Residence,HEINKELEIN Manfred (Mr),Operational,12,24,P.O Box 1311,Mahe,4249100/ 2523828,hannemanholidayresidence@seychelles.net,Self Catering
Happy StayVilla,ETHEVE Dennis (Mr),Operational,2,4,Amitie,Praslin,2538206/2589913,happystayvilla@gmail.com,Self Catering
HCS Bungalows,TELEMAQUE Georgette (Mrs),Operational,1,2,Turtle Bay,Mahe,2523591,hcsholidays@yahoo.com,Self Catering
Healing Islands Apartment,SINON Roy (Mr),Operational,3,6,Sweet Escot,Mahe,2538466/ 2585872/4372214,duniam@web.de,Self Catering
Heliconia Grove,Doffay Maryvonne (Ms)/ CHARLESHazel (Ms),Operational,11,22,Cote D'Or,Praslin,4233770/4323201/ 2578164,heliconiagrove@seychelles.net,Self Catering
Heritage Villa,LEPAIRE Audrey (Mrs),Operational,2,4,Grand Anse,Praslin,2718644/2781464/2783714,aubbieseychelles2@gmail.com,Self Catering
Hibiscus House Self Catering,GRAY Nadia (mrs),Operational,6,12,Ma Constance,Mahe,2714483,nadia@seychelles.net,Self Catering
Hide Away Holiday Apartments,LAI LAM Phillip (Mr),Operational,4,8,P.O Box 30,Praslin,2716181,hideaway.seychelles@gmail.com,Self Catering
Hillcrest Villas,JENSENS Paul  (Mr),Operational,4,8,P.O Box 486,Mahe,2612057/ 2529506,hillcrestseychelles@gmail.com; lisa.amelie121@gmail,Self Catering
Hillside Retreat,PLATT Anne Lise (Mrs),Operational,2,4,Anse Poules Bleues,Mahe,2719647/2719646,lazare@intelvision.net,Self Catering
Hilltop Guesthouse,FONSEKA Victoria (Miss),Operational,11,22,Saint Louis,Mahe,2526870,info@hilltop.sc; hibiscushouseseycchelles@gmail.com,Bed & Breakfast Guesthouse
Hilton (Seychelles) Northholme Resort and Spa,FABBRI Daniele  (Mr),Operational,56,112,P.O Box 333,Mahe,4299000,daniele.fabbri@hilton.com,Large Hotel
Hilton Seychelles Labriz Resort and Spa,BORG Andre (Mr),Operational,117,234,P.O Box 69,Silhouette,4293949/2606625,andre.borg@hilton.com,Large Hotel
Holiday Home,ESPARONS Andrew (Mr),Operational,4,8,Dame le Roi,Mahe,4361090/2535119,soleil@seychelles.net,Self Catering
Home Confort,THOMAS Claude (Mr),Operational,10,20,Anse Kerlans,Praslin,2594110/2614538,reservation@villaconfort.com,Self Catering
Horizon Self Catering,ANDRE Michel Philip Andre (Mr),Operational,4,8,Beau Vallon,Mahe,2718367,Karineandre@gov.sc,Self Catering
Horizon View Self Catering,ROUCOU Marie-Claire (Mrs),Operational,4,8,Anse Boileau,Mahe,2572136,marieclaireroucou@gmail.com,Self Catering
Hostellerie La Digue,CAMILLE Dominic & Ruby (Mr & Mrs),Operational,7,14,La Passe,La Digue,2515199/ 2521295/2509095,hostellerieladigue@hotmail.com,Self Catering
Hotel Bel Air,RASSOOL Roland (Mr),Operational,7,14,P.O Box 116,Mahe,4224416/4224646/ 2513100,belair@seychelles.net,Guesthouse
Hotel L'Archipel,D'OFFAY Lucas (Mr),Operational,30,60,P.O Box 1346,Praslin,4284700,edoffay@larchipel.com,Medium Hotel
Hotel L'Ocean,Asba Anania (Ms),Operational,8,16,Anse patate,La Digue,4234180/2529115,hocean@seychelles.net,Small Hotel
Hotel Plein Soleil,DE CHARMOY LABLACHE Brigitte,Operational,10,20,Grand Anse Praslin,Praslin,2520365/2520990/2513219,brilablache@gmail.com,Small Hotel
House On A Rock,KILINDO Rowdy (Mr),Operational,1,2,Au Cap,Mahe,2520277,rowdy@ladressseychelloise.com,Self Catering
Hyde-Tide Apartments,HOFFMAN David (Mr),Operational,5,10,Anse Reunion,La Digue,2643535,info@hyde-tide.com,Self Catering
Ile Des Palmes,GILL Christopher (Mr),Operational,18,36,Anse Takamaka,Praslin,2711051/4232941/ 2783051,islands@iledespalmes.com/danby@iledespalmes.com,Self Catering
Isla Holiday Home,HERMITTE Monique (Mrs),Operational,18,36,Anse Royale,Mahe,2523334/4371737,ermitheirs@gmail.com,Self Catering
Island Bungalow,"PAYET Fred, Antoine (Mr)",Operational,5,10,Anse Severe,La Digue,2514975/ 2539636,islandbungalow@email.sc,Self Catering
Island Charm,HOAREAU Natasha (Mrs),Operational,3,6,Anse Kerlan,Praslin,2725077,islancharm@gmail.com; deepan@seychelles.net,Self Catering
Island Charm Of Praslin,PILLAY Shanmugan (Mr),Operational,3,6,Anse Kerlan,Praslin,2725077,islandcharmpraslin@gmail.com,Self Catering
Island Cove,FRANCOISE Holden (Mr),Operational,4,8,Anse Royale,Mahe,2616570,'islandcovesez@gmail.com',Self Catering
Ixora Villa,MONDON Antoine (Mr),Operational,2,4,"P.O Box 3028, Anse Royale",Mahe,4372155/ 2785095,ixoravillamahe@gmail.com; attamondon@yahoo.com,Self Catering
Jaidss Holiday Apartments,SIMEON Julius (Mr),Operational,4,8,Au Cap,Mahe,2511326,,Self Catering
JAL self Catering,COOPOOSAMY Winsley(Mr)/LEON Jacqueline(Mrs),Operational,6,12,St louis,Mahe,2761691,winsleycooppoosamy@yahoo.com,Self Catering
Jamelah Apartments,PORT LOUIS Michelle (Ms),Operational,14,28,Anse Aux Pins,Mahe,4375429 / 2730202/2818008,jamelahacc@gmail.com; jamelahoffice@gmail.com,Self Catering
Jane Senerity Guesthouse,LEON Mozianne (Mrs),Operational,3,6,Santa Maria,Mahe,4344444/4410033,esmo5672@yahoo.com,Self Catering
Jardin Marron,AALFS  Madeleine (Mrs),Operational,2,4,Anse Boudin,Praslin,2593850/2559913,madaalfs@hotmail.com,Self Catering
Jastam House,MOULINIER Priya (Ms),Operational,6,12,Barbarons,Mahe,2710089/4378703,barbarons@seychelles.net; info@jastamhouse.sc,Self Catering
JBilla  Self Catering,MARINGO Jean Baptitse (Mr),Operational,4,8,Beau Vallon,Mahe,2515950/2589459,jbillaselfcatering@gmail.com,Self Catering
Jeanny Self Catering,CONSTANCE Walter (Mr),Operational,3,6,Grand Anse,Praslin,2718489/ 2716025,jeannycedras@yahoo.com,Self Catering
Jeffmar Self Catering,MARGUERITE Jeffrey (Mr),Operational,3,6,Baie Ste Anne,Praslin,2594564,jeffmar@seychelles.net,Self Catering
Jessie's Guesthouse,AH-TIME Jessie (Mrs),Operational,5,10,Beau Vallon,Mahe,2534116,jghsey@gmail.com,Bed & Breakfast Guesthouse
JML Holiday Apartments,Linsen Waye-Hive(Ms),Operational,4,8,Anse Reunion,La Digue,2604415/2544697,wayehive0769@gmail.com,Self Catering
JMS Ventures,SAVY Simon (Mr)  / ROSSETTE  Antoine (Mr),Operational,4,8,La Passe,La Digue,2604415,jean-marc@scaux.be,Self Catering
Josie's Cottage,MOUSTACHE  Josianne (Mrs),Operational,2,4,La Batie,Mahe,2517838 /2517477/4247088,josi2mo@gmail.com,Self Catering
Juliana's Self Catering,D'OFFAY Julien (Mr),Operational,6,12,Au Cap,Mahe,4375918 / 2741209,landlord@julianasvillas.com,Self Catering
Julie's Holiday Home,LAPORTE Barry (Mr),Operational,4,8,Au Cap,Mahe,2800877,juliesholidayhomesez@gmail.com,Self Catering
Kai Self Catering,RADEGONDE Jeanette (Mrs),Operational,3,6,La Passe,La Digue,2517745/2591908,kaiselfcatering@gmail.com,Self Catering
Kanasuk Apartment,ADRIENNE Marie-Jane (Mrs),Operational,10,20,Anse Poules Bleu,Mahe,4344349/2718847,mariejaneadrienne40@gmail.com,Self Catering
Karibou Villa,MAHOUNE Brenda,Operational,3,6,Au Cap,Mahe,2802903/2632047,bhelenamahoune@gmail.com,Self Catering
Kaz Digwa Self Catering,HOAREAU Martin (Mr),Operational,3,6,Anse Reunion,La Digue,2513684/4293064 /2604451,kazdigwea@gmail.com,Self Catering
Kaz Ladouceur,LADOUCEUR Frederic (Mr),Operational,2,4,La Passe,La Digue,2565326,ladouceurmn@yahoo.co.uk,Self Catering
Kaz Leo Tel,ACKERMAN Telma (Mrs),Operational,2,4,Anse Reunion,La Digue,2547592,as.services@seychelles.net,Bed & Breakfast Guesthouse
Kaz Memel,PADAYACHY Lisa (Mrs),Operational,4,8,Beau Vallon,Mahe,2515900/4413922,lisapadayachy@gmail.com,Self Catering
Kelsy Self catering,JEANNE Kevan (Mr),Operational,3,6,La Passe,La Digue,4234633/2572497,kevanjeanne04@gmail.com,Self Catering
Kempinski Seychelles Resort,ABDELMONEIM Hany (Mr),Operational,150,300,P.O Box 1356,Mahe,4386666/2620888 / 2501297,hany.abdelmoneim@kempinski.com; loai.alrawashdeh@kempinski.com,Large Hotel
Koko Grove Chalets,ALBERT Lisette (Miss),Operational,4,8,Enfoncement,Mahe,2585986/ 4323643/2779808,interglobe@wxfs.nl,Self Catering
Koko Villa,ETIENNE Aline (Ms),Operational,8,16,P.O Box 375,Mahe,2765344/4344888,kobekoko@seychelles.net,Self Catering
Kot Babi,LABICHE Robert (Mr),Operational,9,18,La Passe,La Digue,4234747/ 2514338,resababi2@gmail.com,Guesthouse
Kwen Kasyet,CORSAME Zenaida(Mrs),Operational,5,10,Anse Reunion,La Digue,2620851/2503665/2530594,hotel@lerepaireseychelles.com; directorlepaireseychelles.com; director@lerepaire.com,Bed & Breakfast Guesthouse
La Batie Self Catering Apartment,"LARUE Gerard, Rene (Mr)",Operational,3,6,La Batie,Mahe,4247933/ 2510432,premier1@seychelles.net,Self Catering
La Belle Digue Don,FAURE William (Mr),Operational,4,8,Anse Reunion,La Digue,2547174,annie.faure@wanadoo.fr,Self Catering
La Belle Tortue Guesthouse,CASSE Cora(Mrs),Operational,7,14,P.O Box 1522,Silhouette,4325335/ 2569708,contact@labelletortue.com,Bed & Breakfast Guesthouse
La Belle Zilwaz,FANCHETTE Marie Lise (Ms),Operational,2,4,Grand Anse,La Digue,2560468/2591427,labelzilwaz@email.sc,Self Catering
La Casa Sorento Self Catering,ALAO Claire (Mrs),Operational,4,8,"Sorento, Glacis",Mahe,2536802,lacasasorento@gmail.com,Self Catering
La Cigale Estate,RACHEL Maxime (Mr),Operational,9,18,Cote D'Or,Praslin,2560520/2517646,gm@lacigaleestate.com,Self Catering
La Colombe D'or,DADOUN Marlene (Mrs),Operational,2,4,Grand Anse,Praslin,2790055/4233463/2562488,Erica.bonte@nbs.gov.sc; stevencenice@laposte.net; lacolombedor23@laposte.com,Self Catering
La Desirade,D'OFFAY Anne Laure (Mrs),Operational,4,8,P.O Box 1131,Mahe,4344222/ 2515253,doffay@seychelles.net,Self Catering
La Digue Emerald Villa,ZARQANI RENE Sarah (Mrs),Operational,3,6,La Passe,La Digue,4235063,companyemerald58@gmail.com,Self Catering
La Digue Holiday Villas,WAYE-HIVE Alam (Mr),Operational,6,12,La Passe,La Digue,2514047,ladigueholidays@gmail.com.,Self Catering
La Digue Island Lodge,ANGIBINGNON Emmanelle (Ms),Operational,69,138,Anse Reunion,La Digue,4234232/ 4292525/2594440,assthotelmanagerladigue@seychelles.net,Large Hotel
La Digue Luxury Beach Bungalow,DURUP Ethel (Ms),Operational,5,10,Anse Reunion,La Digue,2564421,ladigueluxurybb@seychelles.net,Bed & Breakfast Guesthouse
La Digue Self Catering Apartments,"MILLS Carl, Ernest (Mr)",Operational,6,12,La Passe,La Digue,2523207/ 4235210,ladigueself@seychelles.net,Self Catering
La Diguoise,ERNESTA Elodie(Mrs),Operational,9,18,Anse Reunion,La Digue,4234713/ 2510332,diguoise@seychelles.net,Guesthouse
La Gayole,MONCHERRY Marlene (Miss),Operational,2,4,Fisherman's Cove Estate,Mahe,2520375/ 2511577,xela@seychelles.net,Self Catering
La Maison De Celiska,SAVY Achille (Mr),Operational,2,4,Anse Consolation,Praslin,2516023,avjmsavy@hotmail.com,Self Catering
La Maison D'en Bas,EMOND Philip (Mr),Operational,2,4,Anse a La Mouche,Mahe,2513838,philos@seychelles-saveur.com,Self Catering
La Maison Hibiscus,UDWADIA Beryl (Mrs),Operational,4,8,Bel Ombre,Mahe,2520491/2579477,beryludwadia@gmail.com; lamaisonhibiscus@gmail.com,Self Catering
La Modestie,LOUISE Rene (Mr),Operational,10,20,St Joseph,Praslin,2515595 / 2515598/2603067,info@lamodestie.com/larengent@seychelles.net,Bed & Breakfast Guesthouse
La Nature Apartments,PILLAY Mangalam (Mr),Operational,2,4,Au Cap,Mahe,2781540,pillaymangalam@yahoo.com,Self Catering
La Passe Guesthouse,ACCOUCHE Marie Anne (Mrs),Operational,4,8,La Passe,La Digue,4234391,lapasseguesthouse@gmail.com,Guesthouse
La Passe Holiday Villa,KHAN Daniel (Mr),Operational,4,8,La Passe,La Digue,"4321077/
2513371432107",ansesevere@seychelles.net,Self Catering
